step,action_pred,action_opt,reward,TP,FP,FN,TN
538,0,0,0.47312110662460327,118,112,128,141
539,0,0,0.5205962061882019,118,112,128,142
540,1,1,0.728970468044281,119,112,128,142
541,0,0,0.4278053343296051,119,112,128,143
542,1,0,-0.16838033497333527,119,113,128,143
543,1,1,0.7695167660713196,120,113,128,143
544,1,1,0.39593571424484253,121,113,128,143
545,0,1,-0.8685554265975952,121,113,129,143
546,0,0,0.5538625717163086,121,113,129,144
547,0,0,0.5844884514808655,121,113,129,145
548,0,1,-0.36308780312538147,121,113,130,145
550,1,1,0.7660736441612244,122,113,130,145
551,0,0,0.4880746304988861,122,113,130,146
552,0,0,0.45429372787475586,122,113,130,147
553,0,1,-0.6150272488594055,122,113,131,147
554,1,1,-0.05049677938222885,123,113,131,147
555,0,0,0.3466755449771881,123,113,131,148
557,1,1,0.31844696402549744,124,113,131,148
558,0,0,0.46297532320022583,124,113,131,149
559,1,0,-0.697480320930481,124,114,131,149
560,0,1,-0.9174337983131409,124,114,132,149
561,0,0,-0.0969339981675148,124,114,132,150
562,1,1,0.7801797389984131,125,114,132,150
563,1,0,-0.7973396182060242,125,115,132,150
564,1,1,0.23042580485343933,126,115,132,150
565,1,0,-1.0214853286743164,126,116,132,150
567,0,1,-0.5431295037269592,126,116,133,150
568,1,0,-0.7956963777542114,126,117,133,150
569,0,0,0.5783637166023254,126,117,133,151
570,1,0,-0.34293052554130554,126,118,133,151
571,1,0,-0.5740900039672852,126,119,133,151
572,1,1,0.205246239900589,127,119,133,151
573,1,0,-0.7611130475997925,127,120,133,151
574,0,0,0.15153080224990845,127,120,133,152
575,0,1,-0.5985620021820068,127,120,134,152
576,0,0,0.6758148670196533,127,120,134,153
577,0,0,0.6069733500480652,127,120,134,154
578,0,1,-0.2729595899581909,127,120,135,154
579,1,1,0.7668463587760925,128,120,135,154
580,0,0,0.505363404750824,128,120,135,155
581,1,1,0.7199121713638306,129,120,135,155
583,0,0,0.29267916083335876,129,120,135,156
584,1,1,0.21018187701702118,130,120,135,156
585,0,0,0.5107556581497192,130,120,135,157
586,0,0,0.5981157422065735,130,120,135,158
587,0,1,-0.9452506899833679,130,120,136,158
589,1,1,0.6643060445785522,131,120,136,158
590,1,1,0.7175548076629639,132,120,136,158
591,1,0,-0.7098353505134583,132,121,136,158
592,1,1,0.3195739686489105,133,121,136,158
593,0,1,-0.6045612096786499,133,121,137,158
594,0,0,0.4261031746864319,133,121,137,159
595,0,1,-0.6196181178092957,133,121,138,159
597,0,0,0.5650094747543335,133,121,138,160
598,0,1,-0.3487325608730316,133,121,139,160
599,0,1,-0.9273815155029297,133,121,140,160
600,1,0,-0.719500720500946,133,122,140,160
601,0,1,-0.5754079818725586,133,122,141,160
602,1,0,-0.5703393220901489,133,123,141,160
603,1,1,0.8096520900726318,134,123,141,160
604,1,0,-0.5435506105422974,134,124,141,160
605,1,0,-0.3924686014652252,134,125,141,160
606,0,0,0.22879329323768616,134,125,141,161
607,1,1,0.6895699501037598,135,125,141,161
608,0,0,0.4104120433330536,135,125,141,162
609,0,0,0.920260488986969,135,125,141,163
610,0,1,-0.3306909501552582,135,125,142,163
611,1,0,-0.6979149580001831,135,126,142,163
