origin_id,destination_id,current_time,wait_time_minutes,next_departure
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,09:00:00,85.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,09:15:00,70.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,09:30:00,55.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,09:45:00,40.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,10:00:00,25.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,10:15:00,10.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,10:30:00,55.0,11:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,10:45:00,40.0,11:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,11:00:00,25.0,11:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,11:15:00,10.0,11:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,11:30:00,55.0,12:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,11:45:00,40.0,12:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,12:00:00,25.0,12:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,12:15:00,10.0,12:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,12:30:00,115.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,12:45:00,100.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,13:00:00,85.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,13:15:00,70.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,13:30:00,55.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,13:45:00,40.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,14:00:00,25.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,14:15:00,10.0,14:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,14:30:00,1195.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,14:45:00,1180.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,15:00:00,1165.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,15:15:00,1150.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,15:30:00,1135.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,15:45:00,1120.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,16:00:00,1105.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,16:15:00,1090.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,16:30:00,1075.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,16:45:00,1060.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,17:00:00,1045.0,10:25:00
