route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-87581009-87391003,383,OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1422:20260725,12264,1.0,552,
OCESN-87581009-87391003,328,OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1422:20260829,12264,1.0,553,
OCESN-87581009-87391003,226,OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1431:20260502,12264,1.0,554,
OCESN-87581009-87391003,384,OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1426:20260512,12264,1.0,555,
OCESN-87391003-87581009,350,OCESN12265F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1614:20260512,12265,0.0,556,
OCESN-87391003-87581009,357,OCESN12265F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1614:20260702,12265,0.0,557,
OCESN-87581009-87391003,385,OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1956:20260829,12266,1.0,558,
OCESN-87581009-87391003,386,OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1955:20260503,12266,1.0,559,
OCESN-87581009-87391003,365,OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1955:20260517,12266,1.0,560,
OCESN-87581009-87391003,387,OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1956:20260827,12266,1.0,561,
OCESN-87581009-87391003,363,OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1956:20260329,12266,1.0,562,
OCESN-87581009-87391003,388,OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1955:20260628,12266,1.0,563,
OCESN-87581009-87391003,389,OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1955:20260419,12266,1.0,564,
OCESN-87391003-87581009,390,OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260826,12267,0.0,565,
OCESN-87391003-87581009,8,OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1916:20260513,12267,0.0,566,
OCESN-87391003-87581009,391,OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260828,12267,0.0,567,
OCESN-87391003-87581009,323,OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260507,12267,0.0,568,
OCESN-87391003-87581009,350,OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260512,12267,0.0,569,
OCESN-87391003-87581009,291,OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260829,12267,0.0,570,
OCESN-87581009-87391003,309,OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1508:20260513,12268,1.0,571,
OCESN-87581009-87391003,392,OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260525,12268,1.0,572,
OCESN-87581009-87391003,131,OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1508:20260426,12268,1.0,573,
OCESN-87581009-87391003,140,OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260405,12268,1.0,574,
OCESN-87581009-87391003,115,OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1508:20260503,12268,1.0,575,
OCESN-87581009-87391003,393,OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260827,12268,1.0,576,
OCESN-87581009-87391003,394,OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260823,12268,1.0,577,
OCESN-87581009-87391003,114,OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260308,12268,1.0,578,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,395,OCESN12269F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87581009:3:1015:20260826,12269,1.0,579,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,396,OCESN12269F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87581009:3:1018:20260827,12269,1.0,580,
OCESN-87391003-87581009,397,OCESN12271F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2014:20260828,12271,0.0,581,
OCESN-87391003-87581009,309,OCESN12271F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2017:20260513,12271,0.0,582,
OCESN-87581009-87391003,50,OCESN12272F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:2202:20260515,12272,1.0,583,
OCESN-87581009-87391003,398,OCESN12272F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:2158:20260508,12272,1.0,584,
OCESN-87581009-87391003,97,OCESN12272F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:2158:20260514,12272,1.0,585,
OCESN-87581009-87391003,399,OCESN12272F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:2156:20260627,12272,1.0,586,
OCESN-87391003-87581009,400,OCESN12273F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2114:20260703,12273,0.0,587,
OCESN-87391003-87581009,323,OCESN12273F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2116:20260507,12273,0.0,588,
OCESN-87581009-87391003,401,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1926:20260725,12274,1.0,589,
OCESN-87581009-87391003,402,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1930:20260620,12274,1.0,590,
OCESN-87581009-87391003,403,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1926:20260829,12274,1.0,591,
OCESN-87581009-87391003,97,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:2016:20260514,12274,1.0,592,
OCESN-87581009-87391003,205,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1907:20260516,12274,1.0,593,
OCESN-87581009-87391003,404,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1927:20260418,12274,1.0,594,
OCESN-87581009-87391003,405,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1930:20260509,12274,1.0,595,
OCESN-87581009-87391003,50,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1857:20260515,12274,1.0,596,
OCESN-87581009-87391003,406,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1901:20260828,12274,1.0,597,
OCESN-87581009-87391003,318,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1901:20260731,12274,1.0,598,
OCESN-87581009-87391003,407,OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1930:20260502,12274,1.0,599,
OCESN-87391003-87581009,293,OCESN12275F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1717:20260517,12275,0.0,600,
OCESN-87391003-87581009,408,OCESN12275F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260628,12275,0.0,601,
OCESN-87581009-87391003,409,OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:855:20260702,12276,1.0,602,
OCESN-87581009-87391003,52,OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:855:20260509,12276,1.0,603,
OCESN-87581009-87391003,410,OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:855:20260328,12276,1.0,604,
OCESN-87581009-87391003,97,OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1014:20260514,12276,1.0,605,
OCESN-87581009-87391003,411,OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:855:20260512,12276,1.0,606,
OCESN-87391003-87581009,302,OCESN12277F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260807,12277,0.0,607,
OCESN-87391003-87581009,303,OCESN12277F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260828,12277,0.0,608,
OCESN-87581009-87391003,412,OCESN12278F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:2100:20260827,12278,1.0,609,
OCESN-87581009-87391003,350,OCESN12278F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:2100:20260512,12278,1.0,610,
OCESN-87391003-87581009,337,OCESN12279F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1019:20260829,12279,0.0,611,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,413,OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87581009:2:2114:20260530,12281,0.0,612,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,414,OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:5:2352:20260501,12281,0.0,613,
