trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12263F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1812:20260831,18:12:00,18:12:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1421:20260509,12:08:00,12:08:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1422:20260725,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1422:20260831,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1431:20260502,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1426:20260512,12:12:00,12:12:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12264F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1421:20260516,11:21:00,11:21:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12265F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1614:20260512,16:14:00,16:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12265F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1614:20260831,16:14:00,16:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12265F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:3:1614:20260702,16:14:00,16:14:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1956:20260829,17:45:00,17:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1955:20260503,17:41:00,17:41:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1955:20260517,17:41:00,17:41:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1956:20260827,17:45:00,17:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1956:20260329,17:45:00,17:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1955:20260628,17:45:00,17:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1955:20260419,17:45:00,17:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
