id,lat,lon,name,capacity,type,source
12883551201,44.8197616,-0.6975675,Beep Valet Parking Mérignac,,node,osm
12923854215,44.8467466,-0.5172989,Parking_12923854215,2.0,node,osm
13036722604,44.8452026,-0.5787906,Lhôte,111.0,node,osm
13036722605,44.8380994,-0.5688433,Alsace Lorraine,120.0,node,osm
13036722606,44.839775,-0.5830142,Bonnac,169.0,node,osm
13057982769,44.7698928,-0.6093982,Parking_13057982769,,node,osm
13176930050,44.7742487,-0.586367,Parking_13176930050,50.0,node,osm
13618011833,44.8442904,-0.5622961,Parking_13618011833,,node,osm
13618011834,44.8443265,-0.5624839,Parking_13618011834,,node,osm
23021289,44.8571863,-0.6209382,Parking_23021289,,way,osm
23021298,44.8537561,-0.6215849,Parking_23021298,,way,osm
23021331,44.8578287,-0.622633,Parking_23021331,,way,osm
23021444,44.8433112,-0.6391237,Parking_23021444,,way,osm
23021536,44.8514716,-0.6156933,Parking_23021536,,way,osm
23032315,44.8467809,-0.5731298,Allées de Chartres,395.0,way,osm
24517044,44.8425419,-0.5853488,Parking_24517044,174.0,way,osm
24551191,44.8116602,-0.630468,Parking_24551191,,way,osm
24660638,44.8557419,-0.6544901,Parking_24660638,,way,osm
24674293,44.815354,-0.6482488,Parking_24674293,,way,osm
24694438,44.8510026,-0.6461298,Parking_24694438,,way,osm
24714710,44.842405,-0.6278835,Parking_24714710,,way,osm
24725866,44.8021071,-0.6338503,Parking_24725866,,way,osm
25422269,44.7942626,-0.6297287,Parking_25422269,,way,osm
25452819,44.8029683,-0.6327894,Chaumet,45.0,way,osm
25452853,44.8020525,-0.6318795,Pompidou,60.0,way,osm
25468903,44.8179799,-0.6368016,Parking_25468903,,way,osm
25512234,44.8205982,-0.5846607,Place Aristide Briand,,way,osm
25696940,44.8405008,-0.5612812,Parking_25696940,,way,osm
25710113,44.8646564,-0.5245853,Parc-Relais Buttinière,603.0,way,osm
25762542,44.8498224,-0.5462868,Parc-Relais Galin,399.0,way,osm
25763261,44.7663764,-0.611563,Parking_25763261,,way,osm
25783067,44.8612952,-0.6144363,Parking_25783067,,way,osm
25846960,44.7669888,-0.608085,Parking_25846960,,way,osm
25848381,44.7981747,-0.6440552,Parking_25848381,,way,osm
25851490,44.9023116,-0.6472865,Parking_25851490,,way,osm
25860810,44.8559318,-0.5623124,Hangar 15,393.0,way,osm
25863919,44.7714443,-0.6142687,Parking_25863919,,way,osm
25869565,44.770518,-0.6054145,Parking_25869565,,way,osm
25872599,44.772206,-0.6154613,Place des Augustins,100.0,way,osm
25873845,44.7723662,-0.6097594,Parking_25873845,,way,osm
25873967,44.8011635,-0.537836,Parking_25873967,,way,osm
25899397,44.7789916,-0.6284436,Parking_25899397,,way,osm
25900621,44.7603924,-0.6363402,Parking_25900621,,way,osm
25906596,44.7689616,-0.6410098,Parking_25906596,,way,osm
25910845,44.7812489,-0.6328706,Parking_25910845,,way,osm
25910943,44.7657299,-0.6266557,Parking_25910943,,way,osm
25917457,44.8048486,-0.6002715,Parking_25917457,,way,osm
25938772,44.8070144,-0.5480702,Parking_25938772,94.0,way,osm
25980405,44.7722807,-0.6132382,Parking_25980405,,way,osm
25981655,44.7745453,-0.6447101,Parking_25981655,,way,osm
25981657,44.7740035,-0.6439156,Parking_25981657,,way,osm
25981976,44.7760902,-0.6451319,Parking_25981976,,way,osm
25985343,44.7661993,-0.6194051,Parking_25985343,,way,osm
26003909,44.7738849,-0.6166251,Parking_26003909,,way,osm
26003911,44.7733598,-0.6150893,Parking_26003911,,way,osm
26003913,44.7734051,-0.6160838,Parking_26003913,,way,osm
26117805,44.7998553,-0.6466364,Parking_26117805,,way,osm
26183149,44.8061601,-0.5431114,Parking_26183149,,way,osm
26184618,44.8075655,-0.5431892,Parking_26184618,,way,osm
26187717,44.8092516,-0.5552681,Parking_26187717,,way,osm
26190804,44.8062845,-0.5515549,Saky Limousin,,way,osm
27360820,44.8590997,-0.6306377,Parking_27360820,,way,osm
27451779,44.9077834,-0.570363,Parking_27451779,,way,osm
27451791,44.9084464,-0.5703441,Parking_27451791,,way,osm
27513656,44.8983654,-0.5514254,Parking_27513656,,way,osm
27589435,44.87073,-0.5603938,Parking_27589435,,way,osm
27679730,44.8122123,-0.5891857,Parking_27679730,,way,osm
27679883,44.8127639,-0.5918454,Parking_27679883,,way,osm
27695576,44.8782219,-0.5189392,Parc-Relais Lauriers,190.0,way,osm
27715234,44.8740506,-0.5672135,Parking_27715234,,way,osm
28120650,44.8736405,-0.6793877,Rue Émile Videau,,way,osm
28281230,44.8617615,-0.6420739,Esplanade du Grand Louis,24.0,way,osm
28281376,44.860742,-0.6344861,Parking_28281376,,way,osm
28914841,44.8590613,-0.5555387,Hangar 19,,way,osm
28914848,44.8583247,-0.5571911,Hangar 18,,way,osm
28914856,44.8575256,-0.5589701,Hangar 17,393.0,way,osm
28914863,44.8567334,-0.5607182,Hangar 16,393.0,way,osm
30048728,44.906276,-0.6362556,Parking_30048728,,way,osm
30183955,44.8338057,-0.6415096,Parking_30183955,,way,osm
30806608,44.8372065,-0.5891731,Parking_30806608,,way,osm
30829415,44.8466873,-0.574344,Allées De Chartres - Metpark,406.0,way,osm
31306211,44.8683814,-0.5308158,Parking_31306211,,way,osm
31306265,44.8687427,-0.5285459,Parking_31306265,,way,osm
31307196,44.8760575,-0.5284493,Parking_31307196,,way,osm
31556557,44.8562704,-0.5680368,Parking_31556557,,way,osm
31736969,44.7951259,-0.6221998,Parc-Relais Unitec,248.0,way,osm
35382789,44.7785732,-0.5871897,Parking_35382789,,way,osm
36950830,44.8634118,-0.6408947,Parking_36950830,,way,osm
37835826,44.8699692,-0.4948977,Parking_37835826,,way,osm
43945068,44.8430834,-0.5775887,Grands Hommes,413.0,way,osm
43945097,44.8439777,-0.576005,Tourny,957.0,way,osm
44376124,44.8353873,-0.5724735,Victor Hugo,684.0,way,osm
44437252,44.8281753,-0.6935494,Parking_44437252,,way,osm
44794691,44.9527545,-0.4679786,Parking_44794691,15.0,way,osm
44796582,44.805032,-0.6317299,Esplanade Charles de Gaulle,,way,osm
44836111,44.9562239,-0.4696948,parking de la mairie,25.0,way,osm
46110353,44.8649968,-0.6016269,Parking_46110353,,way,osm
48171249,44.7917061,-0.6127285,Parking IUT,,way,osm
48223578,44.79086,-0.6083606,Parking_48223578,,way,osm
48333852,44.7904505,-0.6104616,Parking_48333852,,way,osm
49785919,44.8877459,-0.5182535,Parc-Relais La Gardette (Tarif réduit),241.0,way,osm
49785921,44.8887104,-0.5174426,Parc-Relais La Gardette (réservé aux abonnés) (1),151.0,way,osm
49939820,44.8704508,-0.6011973,Parking_49939820,,way,osm
50677860,44.8970521,-0.7502136,Parking_50677860,,way,osm
50679707,44.8949008,-0.7600898,Parking_50679707,,way,osm
50761657,44.8090209,-0.5873371,Place du 8 Mai 1945,,way,osm
50764193,44.892689,-0.725546,Square de Merzig,,way,osm
50775207,44.888273,-0.7015767,Place de la Liberté,,way,osm
50837439,44.8885483,-0.7028263,Parking_50837439,,way,osm
51405612,44.8607955,-0.7016955,Parking_51405612,,way,osm
51529474,44.8926355,-0.7174382,Dupérier,,way,osm
55170227,44.8937971,-0.7494572,Parking_55170227,,way,osm
55170228,44.8937589,-0.7509097,Parking_55170228,,way,osm
